Topic|Reference|Text
Faith|Titus 1:1|Paul, a servant of God, and an apostle of Jesus Christ, according to the faith of God's elect, and the acknowledging of the truth which is after godliness.
Faith|Philemon 1:5|Hearing of thy love and faith, which thou hast toward the Lord Jesus, and toward all saints.
Faith|Hebrews 10:38|Now the just shall live by faith: but if any man draw back, my soul shall have no pleasure in him.
Faith|Hebrews 12:2|Looking unto Jesus the author and finisher of our faith; who for the joy that was set before him endured the cross, despising the shame.
Repentance|Romans 2:4|Or despisest thou the riches of his goodness and forbearance and longsuffering; not knowing that the goodness of God leadeth thee to repentance?
Repentance|2 Corinthians 7:9|Now I rejoice, not that ye were made sorry, but that ye sorrowed to repentance.
Repentance|2 Corinthians 7:10|For godly sorrow worketh repentance to salvation not to be repented of: but the sorrow of the world worketh death.
Repentance|2 Timothy 2:25|In meekness instructing those that oppose themselves; if God peradventure will give them repentance to the acknowledging of the truth.
Repentance|Hebrews 6:1|Therefore leaving the principles of the doctrine of Christ, let us go on unto perfection; not laying again the foundation of repentance from dead works.
Repentance|Acts 20:21|Testifying both to the Jews, and also to the Greeks, repentance toward God, and faith toward our Lord Jesus Christ.
Repentance|Romans 11:29|For the gifts and calling of God are without repentance.
Repentance|2 Timothy 2:26|And that they may recover themselves out of the snare of the devil, who are taken captive by him at his will.
Repentance|Hebrews 6:6|If they shall fall away, to renew them again unto repentance; seeing they crucify to themselves the Son of God afresh, and put him to an open shame.
Baptism|Romans 6:3|Know ye not, that so many of us as were baptized into Jesus Christ were baptized into his death?
Baptism|Romans 6:4|Therefore we are buried with him by baptism into death: that like as Christ was raised up from the dead by the glory of the Father, even so we also should walk in newness of life.
Baptism|1 Corinthians 12:13|For by one Spirit are we all baptized into one body, whether we be Jews or Gentiles, whether we be bond or free.
Baptism|Galatians 3:27|For as many of you as have been baptized into Christ have put on Christ.
Baptism|Ephesians 4:5|One Lord, one faith, one baptism.
Baptism|Colossians 2:12|Buried with him in baptism, wherein also ye are risen with him through the faith of the operation of God, who hath raised him from the dead.
Baptism|1 Corinthians 1:14|I thank God that I baptized none of you, but Crispus and Gaius.
Baptism|1 Corinthians 10:2|And were all baptized unto Moses in the cloud and in the sea.
Baptism|1 Corinthians 15:29|Else what shall they do which are baptized for the dead, if the dead rise not at all? why are they then baptized for the dead?
Baptism|Ephesians 5:26|That he might sanctify and cleanse it with the washing of water by the word.
Holy Ghost|Romans 5:5|And hope maketh not ashamed; because the love of God is shed abroad in our hearts by the Holy Ghost which is given unto us.
Holy Ghost|Romans 8:16|The Spirit itself beareth witness with our spirit, that we are the children of God.
Holy Ghost|Romans 15:13|Now the God of hope fill you with all joy and peace in believing, that ye may abound in hope, through the power of the Holy Ghost.
Holy Ghost|1 Corinthians 3:16|Know ye not that ye are the temple of God, and that the Spirit of God dwelleth in you?
Holy Ghost|1 Corinthians 6:19|What? know ye not that your body is the temple of the Holy Ghost which is in you, which ye have of God, and ye are not your own?
Holy Ghost|Galatians 5:22-23|But the fruit of the Spirit is love, joy, peace, longsuffering, gentleness, goodness, faith, Meekness, temperance: against such there is no law.
Holy Ghost|Ephesians 1:13|In whom ye also trusted, after that ye heard the word of truth, the gospel of your salvation: in whom also after that ye believed, ye were sealed with that holy Spirit of promise.
Holy Ghost|Ephesians 4:30|And grieve not the holy Spirit of God, whereby ye are sealed unto the day of redemption.
Holy Ghost|2 Timothy 1:14|That good thing which was committed unto thee keep by the Holy Ghost which dwelleth in us.
Holy Ghost|Titus 3:5|Not by works of righteousness which we have done, but according to his mercy he saved us, by the washing of regeneration, and renewing of the Holy Ghost.
Enduring to the End|Romans 2:7|To them who by patient continuance in well doing seek for glory and honour and immortality, eternal life.
Enduring to the End|1 Corinthians 9:24|Know ye not that they which run in a race run all, but one receiveth the prize? So run, that ye may obtain.
Enduring to the End|1 Corinthians 15:58|Therefore, my beloved brethren, be ye steadfast, unmoveable, always abounding in the work of the Lord, forasmuch as ye know that your labour is not in vain in the Lord.
Enduring to the End|Galatians 6:9|And let us not be weary in well doing: for in due season we shall reap, if we faint not.
Enduring to the End|Philippians 1:6|Being confident of this very thing, that he which hath begun a good work in you will perform it until the day of Jesus Christ.
Enduring to the End|Philippians 3:14|I press toward the mark for the prize of the high calling of God in Christ Jesus.
Enduring to the End|Colossians 1:23|If ye continue in the faith grounded and settled, and be not moved away from the hope of the gospel.
Enduring to the End|2 Thessalonians 3:13|But ye, brethren, be not weary in well doing.
Enduring to the End|2 Timothy 2:3|Thou therefore endure hardness, as a good soldier of Jesus Christ.
Enduring to the End|2 Timothy 4:7|I have fought a good fight, I have finished my course, I have kept the faith.
Enduring to the End|Hebrews 12:1|Let us lay aside every weight, and the sin which doth so easily beset us, and let us run with patience the race that is set before us.
Enduring to the End|Romans 8:25|But if we hope for that we see not, then do we with patience wait for it.
Enduring to the End|1 Corinthians 10:13|There hath no temptation taken you but such as is common to man: but God is faithful, who will not suffer you to be tempted above that ye are able; but will with the temptation also make a way to escape, that ye may be able to bear it.
Enduring to the End|2 Corinthians 1:6|And whether we be afflicted, it is for your consolation and salvation, which is effectual in the enduring of the same sufferings which we also suffer: or whether we be comforted, it is for your consolation and salvation.
Enduring to the End|2 Corinthians 6:4|But in all things approving ourselves as the ministers of God, in much patience, in afflictions, in necessities, in distresses.
Enduring to the End|Galatians 5:1|Stand fast therefore in the liberty wherewith Christ hath made us free, and be not entangled again with the yoke of bondage.
Enduring to the End|Philippians 4:1|Therefore, my brethren dearly beloved and longed for, my joy and crown, so stand fast in the Lord, my dearly beloved.
Enduring to the End|1 Thessalonians 5:14|Now we exhort you, brethren, warn them that are unruly, comfort the feebleminded, support the weak, be patient toward all men.
Enduring to the End|2 Timothy 2:10|Therefore I endure all things for the elect's sakes, that they may also obtain the salvation which is in Christ Jesus with eternal glory.
Enduring to the End|2 Timothy 4:5|But watch thou in all things, endure afflictions, do the work of an evangelist, make full proof of thy ministry.
Enduring to the End|Hebrews 3:6|But Christ as a son over his own house; whose house are we, if we hold fast the confidence and the rejoicing of the hope firm unto the end.
Enduring to the End|Hebrews 3:14|For we are made partakers of Christ, if we hold the beginning of our confidence steadfast unto the end.
Enduring to the End|Hebrews 6:11|And we desire that every one of you do show the same diligence to the full assurance of hope unto the end.
Enduring to the End|Hebrews 6:15|And so, after he had patiently endured, he obtained the promise.
Enduring to the End|Hebrews 10:23|Let us hold fast the profession of our faith without wavering; (for he is faithful that promised).
Enduring to the End|Hebrews 11:27|By faith he forsook Egypt, not fearing the wrath of the king: for he endured, as seeing him who is invisible.
Enduring to the End|Hebrews 12:3|For consider him that endured such contradiction of sinners against himself, lest ye be weary and faint in your minds.
Enduring to the End|Hebrews 12:7|If ye endure chastening, God dealeth with you as with sons; for what son is he whom the father chasteneth not?
